HR,Name,B-V,Vmag,x,y,z
78,,-0.1,5.9,0.8543455952739614,0.5140777936618304,-0.0762733629766326
79,,1.59,5.79,0.8360706021631757,0.5433413334897785,-0.07593512704969918
80,41    Psc,1.34,5.37,0.9858053505364305,0.14246098168267196,-0.08884075389006443
81,,0.0,6.56,0.9776214159513139,0.1904139777198397,-0.08943648115985134
82,27Rho And,0.42,5.18,0.7850023373144275,0.6152296795731514,-0.07255185582190864
83,Pi  Tuc,-0.05,5.51,0.3467507257918956,-0.9374339935120898,-0.031327974252555846
84,Iot Scl,1.0,5.18,0.8709211921132066,-0.48452973721656284,-0.08201957620568066
85,,1.82,5.12,0.9351119118513196,-0.3429675670099555,-0.08910084339130435
86,42    Psc,1.22,6.23,0.9677897470441036,0.23314835948005086,-0.09499919993384695
87,,1.4,5.97,0.2167291760826156,-0.9760192400844516,-0.020369271452858516
88,9    Cet,0.66,6.39,0.9725215920053252,-0.21148590754690563,-0.09734199500980789
89,,0.0,6.55,0.8524523183723361,-0.5155782089460181,-0.08662652804796839
90,,1.97,7.39,0.7774739294967672,0.6235688561274038,-0.08183013271904797
91,,-0.12,5.57,0.6119418505937292,0.78822561199044,-0.065019659290236
93,12    Cas,0.0,5.4,0.46931284156083125,0.8815599130957448,-0.05096642393498951
94,,1.22,6.07,0.9935481090721753,-0.03872208180310127,-0.10659622573027053
96,,-0.06,5.74,0.5975568516972973,0.7991283301109794,-0.06572458446922055
97,44    Psc,0.86,5.77,0.9932937132617595,0.03384807277286828,-0.11055273476593827
98,Bet Hyi,0.62,2.8,0.21923522038978918,-0.9753583674998337,-0.02473808983531048
99,Alp Phe,1.09,2.39,0.7347012509136641,-0.6730913980017202,-0.08462884757567644
100,Kap Phe,0.17,3.94,0.7184864600561071,-0.6906300058494229,-0.08250697992576239
101,10    Cet,0.9,6.19,0.9932599165115966,-0.000867816380259851,-0.11590506954446045
102,,1.03,5.98,0.8958624342417459,-0.4312548461858928,-0.10700353524830646
103,47    Psc,1.65,5.06,0.9445138521814787,0.3072412790460467,-0.11617391913615183
104,,0.03,5.17,0.7091273312151339,0.6995940599984632,-0.0877871251298755
105,Eta Scl,1.64,4.81,0.8323830149182994,-0.5447447464188375,-0.1019395787935124
106,48    Psc,1.58,6.06,0.9518346459759501,0.28309481311794327,-0.11776303964128307
107,,0.43,6.04,0.9767147044287317,0.17690819141806857,-0.12137494783472988
108,,0.59,6.43,0.9305110860856605,-0.34750851055445225,-0.1157020041482031
109,,1.56,5.43,0.7610992546173888,-0.6416504529518174,-0.0949348242089417
110,,0.92,6.26,0.7933160679718385,0.6004202253258839,-0.10072323126923573
111,,1.09,6.26,0.6306528481277599,-0.7719883448205572,-0.07944168055599651
112,,0.84,6.21,0.22257966347063737,0.9744463502179455,-0.030209335580629326
113,,0.01,5.94,0.4959687009167051,0.8658265617454515,-0.06602584862798726
114,28    And,0.24,5.23,0.8606966620337738,0.49624175834505674,-0.11377773612849806
115,,0.37,6.14,0.9583419953130452,-0.25652836198277906,-0.12559386735762074
116,,1.34,6.57,0.8398103503810113,-0.5316449748104424,-0.10987354618709198
117,12    Cet,1.56,5.72,0.9890583695234892,-0.06901166001411092,-0.13038762386681396
118,,0.12,5.19,0.9070189852048532,-0.40335010978785096,-0.12093489741214808
119,,0.33,6.19,0.7487391028618732,-0.6552610148271479,-0.1001137267975462
120,,0.35,5.69,0.6604704030271338,-0.7456504719264688,-0.0882282292750448
121,13    Cas,-0.1,6.18,0.39469892797830086,0.9171953448756,-0.054455996835144974
122,,1.14,5.87,0.8252780859336538,0.5531250052538758,-0.11388068071707598
123,14Lam Cas,-0.1,4.73,0.5748184749227468,0.8143406833077154,-0.08020581274079049
124,,1.15,5.6,0.5982864091879692,0.796945956686212,-0.08324971292721801
125,Lam1Phe,0.02,4.77,0.6524633782706274,-0.7524564218173502,-0.0900048514331878
126,Bet1Tuc,-0.07,4.37,0.45034283625238536,-0.8906739332458373,-0.06238008073533409
127,Bet2Tuc,0.15,4.54,0.450218985892122,-0.8907356417935105,-0.062392957783489154
128,,-0.01,6.7,0.7181797317865111,0.6882877552038613,-0.10236131538566966
129,,-0.01,6.42,0.32243242537126965,0.9454143528665202,-0.047212630335319264
130,15Kap Cas,0.14,4.16,0.4503436624123591,0.8904644426543779,-0.06529672344958262
131,52    Psc,1.08,5.38,0.928454687492219,0.3468447096651212,-0.13293096197291115
132,51    Psc,0.0,5.67,0.9827395011687834,0.12109938689163402,-0.13984996008937944
